Seed,H1_max,H1_avg,H1_count,height_max,total_steps,stopping_time,max_value,odd_steps,max_consecutive_odds,sum_of_values,peak_ratio
120,0.41421353816986084,0.41421353816986084,3,5,20,1,160,6,1,904.0,1.3333333333333333
121,0.6055512428283691,0.41188284067007214,26,36,95,3,9232,35,1,99189.0,76.29752066115702
122,0.41421353816986084,0.41421353816986084,4,6,20,1,184,6,1,1138.0,1.5081967213114753
123,0.41421353816986084,0.41421353816986084,11,18,46,13,628,16,1,6390.0,5.105691056910569
124,1.0,0.428270122100567,29,38,108,1,9232,40,1,101290.0,74.45161290322581
125,1.0,0.42780156930287677,30,39,108,3,9232,40,1,101762.0,73.856
126,0.6055512428283691,0.4119691627996939,27,38,108,1,9232,40,1,105224.0,73.26984126984127
127,0.41421353816986084,0.41421353816986084,7,22,46,24,4372,16,1,28088.0,34.425196850393704
128,0.41421353816986084,0.41421353816986084,1,4,7,1,128,1,1,255.0,1.0
129,0.41421353816986084,0.40986852529572276,41,47,121,3,9232,45,1,103965.0,71.56589147286822
130,0.41421353816986084,0.41421353816986084,7,8,28,1,196,9,1,1295.0,1.5076923076923077
131,0.41421353816986084,0.41421353816986084,6,11,28,6,592,9,1,2367.0,4.519083969465649
132,0.41421353816986084,0.41421353816986084,9,11,28,1,132,9,1,1039.0,1.0
133,0.41421353816986084,0.41421353816986084,7,13,28,3,400,9,1,1541.0,3.007518796992481
134,0.41421353816986084,0.41421353816986084,5,15,28,1,304,9,1,1593.0,2.2686567164179103
135,0.41421353816986084,0.41421353816986084,12,10,41,11,916,14,1,5890.0,6.785185185185185
136,0.41421353816986084,0.41421353816986084,4,6,15,1,136,4,1,452.0,1.0
137,0.41421353816986084,0.41421353816986084,23,36,90,3,9232,33,1,98157.0,67.38686131386861
138,0.41421353816986084,0.41421353816986084,3,8,15,1,208,4,1,716.0,1.5072463768115942
139,0.41421353816986084,0.41421353816986084,10,18,41,8,628,14,1,4878.0,4.517985611510792
140,0.41421353816986084,0.41421353816986084,2,5,15,1,160,4,1,750.0,1.1428571428571428
141,0.41421353816986084,0.41421353816986084,3,6,15,3,424,4,1,1282.0,3.00709219858156
142,1.0,0.428270122100567,29,38,103,1,9232,38,1,100932.0,65.01408450704226
143,0.6055512428283691,0.4119691627996939,27,38,103,11,9232,38,1,104464.0,64.55944055944056
144,0.41421353816986084,0.41421353816986084,4,7,23,1,144,7,1,609.0,1.0
145,1.0,0.42736324571794077,31,42,116,3,9232,43,1,102813.0,63.66896551724138
146,0.8218544721603394,0.42041611671447754,37,44,116,1,9232,43,1,102865.0,63.23287671232877
147,1.0,0.4269523173570633,32,46,116,6,9232,43,1,104067.0,62.802721088435376
148,0.41421353816986084,0.41421353816986084,4,8,23,1,148,7,1,757.0,1.0
149,0.41421353816986084,0.41421353816986084,3,10,23,3,448,7,1,1319.0,3.0067114093959733
150,0.41421353816986084,0.41421353816986084,2,6,15,1,340,4,1,1670.0,2.2666666666666666
